type,entry_time,exittime,Entryvalue,exitvalue,entry,lot_size,pips,PnL,Equity,exit_type,BasketID,Duration
Long,2019-01-01 09:15:00,2019-01-01 12:15:00,1.3,1.25,Long,38461,-0.050000000000000044,-1923.0500000000018,998076.95,SL,BCG,0 days 03:00:00
Long,2019-01-01 09:15:00,2019-01-01 12:15:00,4.05,4.0,Long,12321,-0.04999999999999982,-616.0499999999978,997460.8999999999,SL,TTML,0 days 03:00:00
Long,2019-01-01 10:15:00,2019-01-01 13:15:00,0.85,0.8,Long,58674,-0.04999999999999993,-2933.699999999996,994527.2,SL,GTLINFRA,0 days 03:00:00
Long,2019-01-01 10:15:00,2019-01-01 13:15:00,9.0,9.0,Long,5525,0.0,0.0,994527.2,SL,BAJAJHIND,0 days 03:00:00
Long,2019-01-01 10:15:00,2019-01-01 13:15:00,8.9,9.0,Long,5587,0.09999999999999964,558.699999999998,995085.8999999999,TP,AILIMITED-SM,0 days 03:00:00
Long,2019-01-01 10:15:00,2019-01-01 13:15:00,22.25,22.7,Long,2236,0.4499999999999993,1006.1999999999985,996092.0999999999,TP,UCOBANK,0 days 03:00:00
Long,2019-01-01 11:15:00,2019-01-01 14:15:00,2.15,2.15,Long,23164,0.0,0.0,996092.0999999999,SL,JPPOWER,0 days 03:00:00
Long,2019-01-01 11:15:00,2019-01-01 14:15:00,48.8,48.8,Long,1020,0.0,0.0,996092.0999999999,SL,FSL,0 days 03:00:00
Long,2019-01-01 11:15:00,2019-01-01 14:15:00,113.85,116.5,Long,437,2.6500000000000057,1158.0500000000025,997250.1499999999,TP,JAICORPLTD,0 days 03:00:00
Long,2019-01-01 11:15:00,2019-01-01 14:15:00,249.05,252.25,Long,200,3.1999999999999886,639.9999999999977,997890.1499999999,TP,INDIANB,0 days 03:00:00
Long,2019-01-01 12:15:00,2019-01-01 15:15:00,105.7,105.5,Long,472,-0.20000000000000284,-94.40000000000134,997795.7499999999,SL,BANKINDIA,0 days 03:00:00
Long,2019-01-01 12:15:00,2019-01-01 15:15:00,98.75,98.1,Long,505,-0.6500000000000057,-328.25000000000284,997467.4999999999,SL,ARVIND,0 days 03:00:00
Long,2019-01-01 12:15:00,2019-01-01 15:15:00,3.75,3.7,Long,13299,-0.04999999999999982,-664.9499999999977,996802.5499999999,SL,RAMASTEEL,0 days 03:00:00
Long,2019-01-01 12:15:00,2019-01-01 15:15:00,155.8,154.7,Long,319,-1.1000000000000227,-350.90000000000725,996451.6499999999,SL,JKPAPER,0 days 03:00:00
Long,2019-01-01 13:15:00,2019-01-02 09:15:00,4.95,4.95,Long,10065,0.0,0.0,996451.6499999999,SL,SUZLON-BE,0 days 20:00:00
Long,2019-01-01 13:15:00,2019-01-02 09:15:00,3.45,3.4,Long,14441,-0.050000000000000266,-722.0500000000038,995729.5999999999,SL,RTNPOWER,0 days 20:00:00
Long,2019-01-01 14:15:00,2019-01-02 10:15:00,9.0,9.15,Long,5531,0.15000000000000036,829.6500000000019,996559.2499999999,TP,AILIMITED-SM,0 days 20:00:00
Long,2019-01-01 14:15:00,2019-01-02 10:15:00,114.7,116.4,Long,434,1.7000000000000028,737.8000000000012,997297.0499999999,TP,JAICORPLTD,0 days 20:00:00
Long,2019-01-01 14:15:00,2019-01-02 10:15:00,710.2,716.85,Long,70,6.649999999999977,465.4999999999984,997762.5499999999,TP,ESCORTS,0 days 20:00:00
Long,2019-01-01 14:15:00,2019-01-02 10:15:00,3.45,3.5,Long,14460,0.04999999999999982,722.9999999999974,998485.5499999999,TP,URJA,0 days 20:00:00
Long,2019-01-01 14:15:00,2019-01-02 10:15:00,2.15,2.1,Long,23220,-0.04999999999999982,-1160.999999999996,997324.5499999999,SL,JPPOWER,0 days 20:00:00
Long,2019-01-01 15:15:00,2019-01-02 11:15:00,7.9,8.0,Long,6312,0.09999999999999964,631.1999999999978,997955.7499999999,TP,GVKPIL-BE,0 days 20:00:00
Long,2019-01-01 15:15:00,2019-01-02 11:15:00,45.7,45.1,Long,1091,-0.6000000000000014,-654.6000000000015,997301.1499999999,SL,CGPOWER,0 days 20:00:00
Long,2019-01-01 15:15:00,2019-01-02 11:15:00,280.8,277.35,Long,177,-3.4499999999999886,-610.649999999998,996690.4999999999,SL,CANBK,0 days 20:00:00
Long,2019-01-01 15:15:00,2019-01-02 11:15:00,1.3,1.25,Long,38334,-0.050000000000000044,-1916.7000000000016,994773.7999999999,SL,BCG,0 days 20:00:00
Long,2019-01-02 09:15:00,2019-01-02 12:15:00,3.4,3.4,Long,14629,0.0,0.0,994773.7999999999,SL,RTNPOWER,0 days 03:00:00
Long,2019-01-02 10:15:00,2019-01-02 13:15:00,60.75,59.75,Long,818,-1.0,-818.0,993955.7999999999,SL,BEPL,0 days 03:00:00
Long,2019-01-02 10:15:00,2019-01-02 13:15:00,0.9,0.9,Long,55219,0.0,0.0,993955.7999999999,SL,GTLINFRA,0 days 03:00:00
Long,2019-01-02 10:15:00,2019-01-02 13:15:00,32.3,31.05,Long,1538,-1.2499999999999964,-1922.4999999999945,992033.2999999999,SL,DBREALTY,0 days 03:00:00
Long,2019-01-02 10:15:00,2019-01-02 13:15:00,7.8,8.25,Long,6359,0.4500000000000002,2861.550000000001,994894.85,TP,VIKASECO-BE,0 days 03:00:00
Long,2019-01-02 11:15:00,2019-01-02 14:15:00,49.4,48.4,Long,1006,-1.0,-1006.0,993888.85,SL,FSL,0 days 03:00:00
Long,2019-01-02 11:15:00,2019-01-02 14:15:00,7.8,7.4,Long,6371,-0.39999999999999947,-2548.3999999999965,991340.45,SL,JPASSOCIAT,0 days 03:00:00
Long,2019-01-02 11:15:00,2019-01-02 14:15:00,13.7,13.4,Long,3618,-0.29999999999999893,-1085.3999999999962,990255.0499999999,SL,HCC,0 days 03:00:00
Long,2019-01-02 12:15:00,2019-01-02 15:15:00,4.95,4.95,Long,10002,0.0,0.0,990255.0499999999,SL,SUZLON-BE,0 days 03:00:00
Long,2019-01-02 12:15:00,2019-01-02 15:15:00,91.05,90.45,Long,543,-0.5999999999999943,-325.7999999999969,989929.2499999999,SL,NCC,0 days 03:00:00
Long,2019-01-02 12:15:00,2019-01-02 15:15:00,33.5,34.05,Long,1477,0.5499999999999972,812.3499999999958,990741.5999999999,TP,SAKUMA-BE,0 days 03:00:00
Long,2019-01-02 12:15:00,2019-01-02 15:15:00,32.25,29.95,Long,1536,-2.3000000000000007,-3532.800000000001,987208.7999999998,SL,FILATEX,0 days 03:00:00
